"id","name","description","opening_hours","image_url"
"1","หมู่บ้านคีรีวง","ชุมชนต้นแบบในการจัดการธุรกิจท่องเที่ยวเชิงนิเวศในจังหวัดนครศรีธรรมราช ที่มีวิถีชีวิตแบบชาวสวนอยู่กับธรรมชาติ และได้พัฒนา การบริการนักท่องเที่ยวขึ้นมาเป็นธุรกิจใหม่ของชุมชน จุดเด่นของหมู่บ้านคีรีวง ก็คือ ทัศนียภาพแห่งธรรมชาติ เพราะคีรีวงตั้งอยู่ท่ามกลางเทือกเขา ป่าไม้และสายน้ำ","เปิด 24 ชั่วโมง","https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.hellorainy.xn--60-qqiho9gn1etczag5gd0g7etg.com%2F%25E0%25B8%25A0%25E0%25B8%25B2%25E0%25B8%2584%25E0%25B9%2583%25E0%25B8%2595%25E0%25B9%2589%2F%25E0%25B8%25AB%25E0%25B8%25A1%25E0%25B8%25B9%25E0%25B9%2588%25E0%25B8%259A%25E0%25B9%2589%25E0%25B8%25B2%25E0%25B8%2599%25E0%25B8%2584%25E0%25B8%25B5%25E0%25B8%25A3%25E0%25B8%25B5%25E0%25B8%25A7%25E0%25B8%2587%2F&psig=AOvVaw2MYQJQCyN-HXvXT6UZHTvQ&ust=1720089881243000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCOi9kKTYiocDFQAAAAAdAAAAABASคีรีวง"
"2","เกาะนุ้ยนอก ขนอม","เกาะนุ้ยนอก เกาะเล็กกลางทะเลในอำเภอขนอม จังหวัดนครศรีธรรมราช แต่มีสิ่งที่มหัศจรรย์บนเกาะ ทำให้เกาะแห่งนี้กลายเป็นสถานที่ Unseen เนื่องจากบนเกาะนี้มีบ่อน้ำจืดที่มีรูปร่างคล้ายกับรอยเท้า สามารถมองเห็นได้ในตอนที่น้ำทะเลลดลง ถ้าเป็นช่วงที่น้ำขึ้น บ่อน้ำนี้ก็จะถูกน้ำทะเลท่วมหมด เชื่อกันว่าพื้นที่แห่งนี้คือบริเวณที่เกิดตำนาน “หลวงปู่ทวดเหยียบน้ำทะเลจืด”","06.00 น.– 17.00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Ftravel.mthai.com%2Fblog%2F37407.html&psig=AOvVaw3nmIjgrss8R436dtBuV4t_&ust=1720091969929000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCIi5qIjgiocDFQAAAAAdAAAAABAS"
"3","แหลมตะลุมพุก","แหลมตะลุมพุกอ.ปากพนัง มีชื่อเสียงเป็นที่รู้จักกันมายาวนาน เนื่องจากการถูกพายุพัดสร้างความเสียหาย ครั้งยิ่งใหญ่ที่สุดในประวัติศาสตร์เป็นชายหาดสีขาวยาวโค้งเรียวยาวไปตามชายฝั่งทะเลแนวเหนือ-ใต้ ระยะทางประมาณ 6 กิโลเมตร ด้านหนึ่งของแหลมรับลมทะเล จากฝั่งอ่าวไทย อีกด้านรับคลื่นลมในฝั่งอ่าวปากแม่น้ำปากพนัง นักท่องเที่ยวสามารถเดินทางด้วยรถยนต์จนถึงปลายแหลมได้เป็น","08.00 น. - 17.00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Fcbtthailand.dasta.or.th%2Fwebapp%2Frelattraction%2Fcontent%2F2494%2F&psig=AOvVaw03GRzSiqLvMwgToKmEflEk&ust=1720172661437000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCKjP89SMjYcDFQAAAAAdAAAAABAE"
"4","กำแพงเมืองเก่า","กำแพงเมืองเก่าเป็น กำแพงเมืองที่เคยปกป้องเมืองนครศรีธรรมราชจากข้าศึก เป็นโบราณสถานที่สำคัญของจังหวัดแสดงถึงความเก่าแก่ ความแข็งแกร่ง ความเจริญรุ่งเรือง และประวัติศาสตร์อันยาวนาน ปัจจุบันได้รับการบูรณะใหม่ให้แข็งแรงและสวยงาม เพื่อพัฒนาเป็นอีก 1 สถานที่ท่องเที่ยวทางประวัติศาสตร์อันทรงคุณค่า มีลักษณะเป็นสี่เหลี่ยมผืนผ้า มีที่ตั้งอยู่หลายจุดด้วยกัน แต่ที่เหลือให้ชม คือ กำแพงเมืองด้านทิศเหนือ อยู่ริมคลอง หน้าเมือง ถนนมุมป้อม","เปิด 24 ชั่วโมง","https://www.google.com/url?sa=i&url=https%3A%2F%2Fthailandtourismdirectory.go.th%2Fattraction%2F3448&psig=AOvVaw11Ogi9z6f2wirVsearLosr&ust=1720172830377000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCPig36eNjYcDFQAAAAAdAAAAABAE"
"6","ศาลหลักเมืองนคร","ศาลหลักเมืองนคร สิ่งศักดิ์สิทธิ์คู่บ้านคู่เมืองที่คอยปกป้องรักษาบ้านเมืองให้พ้นจากภัยอันตรายต่างๆ ราคงเคยรับรู้ถึงความศักดิ์สิทธิ์ของศาลหลักเมืองจากคำลือมาหลายต่อหลายครั้ง ผ่านองค์จตุคามรามเทพเทวดารักษาเมือง ซึ่งอยู่บนเสาสูงสุดของหลักเมือง อาคารสีขาวที่ออกแบบได้อย่างดงามประกอบด้วยอาคารทั้งหมด 4 หลัง หลังกลางเป็นที่ประดิษฐานของศาลหลักเมือง ออกแบบให้มีลักษณะคล้ายศิลปะศรีวิชัย เรียกว่าทรงเหมราชลีลา ส่วนอาคารเล็กทั้งสี่หลัง ถือเป็นบริวารสี่ทิศ เรียกว่าศาลจตุโลกเทพ ประกอบด้วยพระเสื้อเมือง ศาลพระทรงเมือง ศาลพระพรหมเมืองและศาลพรบันดาลเมือง","07:30 น. - 19:00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Fthailandtravel.app%2Fcontent%2Fread%2F838&psig=AOvVaw0xm3SNY-9nXm8EpndbjMDJ&ust=1720173141185000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCOiFjLqOjYcDFQAAAAAdAAAAABAs"
"7","บ้านขุนรัฐวุฒิวิจารณ์","บ้านขุนรัฐวุฒิวิจารณ์ ตั้งอยู่ถนนราชดำเนิน ตำบลในเมือง อำเภอเมือง จังหวัดนครศรีธรรมราช ใกล้กับวัดพระธาตุ อยู่ในพื้นที่เดียว กับร้านกาแฟไทชิ อาคารเรือนปั้นหยาอายุกว่า 108 ปี โดยทายาทของขุนรัฐวุฒิวิจารณ์ได้ดำเนินการบูรณะปรับปรุงบ้านหลังนี้อีกครั้ง ฟื้นฟูสู่สภาพที่สวยงามพร้อมกับเปิดเป็น สถานที่ท่องเที่ยว เพื่อให้คนรุ่นหลังได้เยี่ยมชม โดยบ้านขุนรัฐวุฒิได้รางวัล อาคารอนุรักษ์ศิลปะสถาปัตยกรรม ดีเด่น ปี 2556 โดยสมาคมสถาปนิกสยาม ในพระบรมราชูปถัมภ์","08:00 น. - 16:00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Fasaconservationaward.com%2Findex.php%2F2016-06-13-15-21-44%2Fbuilding-2556%2F382-2016-09-09-03-26-47&psig=AOvVaw2DOe6Ddd8Rcxp17DFqXcWB&ust=1720173202950000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCPijwteOjYcDFQAAAAAdAAAAABAb"
"8","บ้านหนังตะลุงสุชาติ","บ้านหนังตะลุงสุชาติ ทรัพย์สิน เป็นศิลปินหนังตะลุงและช่างทำรูป หนังตะลุงฝีมือดีเยี่ยมของเมืองนครศรีธรรมราช ที่ริเริ่มและสืบทอดวัฒนธรรมการ ทำตัว หนังตะลุง รวมไปถึงการเชิดหนังตะลุงจนที่เป็น ที่ยอมรับในระดับชาติ บ้านหนังตะลุงสุชาติเป็นแหล่งผลิตและจำหน่ายตัวหนังตะลุงและหนังใหญ่ อีกทั้งยัง มีการแสดงในลักษณะสาธิตในบริเวณบ้านหนังตะลุง นอกจากนี้ยังได้แบ่งพื้นที่เพื่อจัดเป็นพิพิธภัณฑ์แสดงเครื่องมือเครื่องใช้พื้นบ้าน และพิพิธภัณฑ์หนังตะลุงนานาชาติ","09:00 น. - 17:00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Fcbtthailand.dasta.or.th%2Fwebapp%2Frelattraction%2Fcontent%2F1930%2F&psig=AOvVaw3BNjveaNaO0O_MQuUizdov&ust=1720173363645000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCIDSpqWPjYcDFQAAAAAdAAAAABAt"
"9","วัดธาตุน้อย","วัดที่เป็นที่ศรัทธานับถือของชาว จ.นครศรีธรรมราช โดยวัดนี้สร้างขึ้นตามความประสงค์ของพ่อท่านคล้าย (พระครูพิษฐอรรถการ) บนที่ดินของผู้ใหญ่กลับ งานพร้อม  ซึ่งได้ถวายที่ดินผืนนี้ให้พ่อท่าน เมื่อวันที่ 17 สิงหาคม 2483 มีเนื้อที่ทั้งหมด 46 ไร่เศษภายในได้มีการแบ่งที่ดินเป็นเขตๆ คือ เขตพุทธาวาส มีพระเจดีย์ อุโบสถ พระพุทธไสยาสน์ , เขตธรรมาวาสและสังฆาวาส มีสถานที่ปฏิบัติธรรม และกุฏิที่อยู่ของพระสงฆ์ , เขตบำเพ็ญประโยชน์ มีโรงเรียนพึ่งตนเอง และเขตสาธารณะประโยชน์ มีห้องให้เช่าอาศัย 10 ห้อง นอกจากนี้ยังมีพระเจดีย์ รอยพระพุทธบาท พระกัจจายนะ และพระกวนอิมโพธิสัตว์ เป็นต้น","09:00 น. – 19:00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Fcbtthailand.dasta.or.th%2Fwebapp%2Frelattraction%2Fcontent%2F570%2F&psig=AOvVaw3N5TrQ5z9cn787miGFXAZc&ust=1720173454743000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCMj35M-PjYcDFQAAAAAdAAAAABA_"
"10","ตลาดย้อนยุคปากพนัง","ตลาดย้อนยุคปากพนัง ที่เที่ยวปากพนังที่พลาดไม่ได้หากแวะมาเที่ยวจังหวัดนครศรีธรรมราช ตลาดแห่งนี้ ตั้งอยู่สอง ริมฝั่งคลองบางฉลากซึ่งเชื่อมต่อกับแม่น้ำปากพนัง ขนานไปกับลำคลอง อีกฝั่งเป็นตลาดที่ติดเลียบกำแพงของเรือนจำ ส่วนอีกจะเป็น บ้านที่อยู่อาศัยที่เปิดเป็นร้านขายของต่างๆ ตลาดย้อนยุคปากพนังถือเป็นสถานที่ท่องเที่ยวที่น่าสนใจเป็นอย่างมาก","เปิดแค่วันอาทิตย์  14:00 น. - 18:00 น.","https://www.google.com/url?sa=i&url=https%3A%2F%2Ffood.mthai.com%2Ffood-recommend%2F115885.html&psig=AOvVaw1GLpxFmqsA_gpWhMerbpyA&ust=1720173578986000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCPiKzIuQjYcDFQAAAAAdAAAAABA9"
"5","วัดพระมหาธาตุวรมหาวิหาร","วัดพระมหาธาตุวรมหาวิหาร ที่ชาวนครเรียกว่า วัดพระธาตุ โบราณสถานสถานที่ศักดิ์สิทธิ์ สัญลักษณ์ของจังหวัดนครศรีธรรมราช  และเป็น มิ่งขวัญชาวเมืองนครศรีธรรมราชตลอดจนพุทธศานิกชน  พระบรมธาตุเจดีย์ เป็นที่บรรจุ พระบรมสารีริกธาตุของพระพุทธเจ้า ปัจจุบันกรมศิลปากรได้ประกาศ จดทะเบียนวัดพระมหาธาตุเป็นโบราณสถาน นับเป็นปูชนียสถานที่สำคัญที่สุดแห่งหนึ่งของภาคใต้","เปิดทุกวัน ถึง 16:30","https://www.google.com/url?sa=i&url=https%3A%2F%2Fworldheritagesite.onep.go.th%2Fsitedetail%2F1&psig=AOvVaw0vTqSfO-i4rn5Wb8XwY6Xo&ust=1720200799870000&source=images&cd=vfe&opi=89978449&ved=0CBEQjRxqFwoTCNjj3cD1jYcDFQAAAAAdAAAAABAJ"
